epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,7282.16,0.5632,0.60953,0.97503,0.82886,0.80598,0.87064,0.79287,0.41399,0.63184,1.0344,0.000566554,0.000566554,0.000566554
101,7349.27,0.57366,0.61213,0.98165,0.83504,0.84705,0.90804,0.827,0.4291,0.58506,1.03577,0.000561055,0.000561055,0.000561055
102,7415.13,0.56323,0.61355,0.98155,0.81819,0.82975,0.89497,0.81002,0.40757,0.65753,1.02675,0.000555556,0.000555556,0.000555556
103,7481.56,0.57461,0.61885,0.98043,0.83765,0.86168,0.89698,0.81488,0.41071,0.55494,1.04562,0.000550056,0.000550056,0.000550056
104,7548.89,0.55449,0.60905,0.97226,0.83549,0.83777,0.89603,0.81093,0.40645,0.57307,1.03137,0.000544557,0.000544557,0.000544557
105,7617.09,0.55592,0.61054,0.97821,0.86978,0.82399,0.90917,0.82663,0.41746,0.56128,1.04538,0.000539057,0.000539057,0.000539057
106,7684.6,0.55494,0.5915,0.97165,0.87903,0.80941,0.90391,0.81797,0.40909,0.54908,1.03667,0.000533558,0.000533558,0.000533558
107,7750.77,0.56828,0.61029,0.97755,0.85548,0.8032,0.89388,0.80621,0.42432,0.58982,1.04465,0.000528058,0.000528058,0.000528058
108,7817.52,0.56355,0.58762,0.9798,0.85262,0.80858,0.88744,0.80398,0.41651,0.60866,1.03715,0.000522559,0.000522559,0.000522559
109,7883.08,0.56585,0.59496,0.97846,0.84012,0.83025,0.90117,0.8142,0.4116,0.53438,1.05022,0.000517059,0.000517059,0.000517059
110,7948.84,0.56073,0.58675,0.9801,0.87273,0.79922,0.90781,0.81846,0.42614,0.58234,1.04295,0.00051156,0.00051156,0.00051156
111,8014.92,0.54951,0.58093,0.97302,0.85471,0.81395,0.90184,0.81256,0.42383,0.54461,1.05163,0.00050606,0.00050606,0.00050606
112,8081,0.56287,0.58214,0.97618,0.86863,0.83578,0.91435,0.83554,0.41188,0.52249,1.04227,0.000500561,0.000500561,0.000500561
113,8146.91,0.55011,0.59703,0.97125,0.86072,0.84534,0.90873,0.82962,0.40648,0.56303,1.0354,0.000495062,0.000495062,0.000495062
114,8213.02,0.5544,0.59712,0.9776,0.8598,0.81476,0.9042,0.81893,0.40185,0.55557,1.03324,0.000489562,0.000489562,0.000489562
115,8279.11,0.54182,0.57136,0.9693,0.84356,0.84318,0.89721,0.80821,0.41939,0.54208,1.04706,0.000484063,0.000484063,0.000484063
116,8345.24,0.55566,0.58282,0.97545,0.87372,0.81552,0.89703,0.81453,0.41214,0.55614,1.03364,0.000478563,0.000478563,0.000478563
117,8412.17,0.53752,0.57232,0.96577,0.87294,0.82651,0.90935,0.82535,0.40116,0.53817,1.03694,0.000473064,0.000473064,0.000473064
118,8478.94,0.54642,0.57921,0.9676,0.80699,0.84112,0.90201,0.81321,0.40688,0.58016,1.03977,0.000467564,0.000467564,0.000467564
119,8545.37,0.55275,0.57114,0.97505,0.83144,0.83747,0.89343,0.80867,0.40897,0.55146,1.03459,0.000462065,0.000462065,0.000462065
120,8611.38,0.54473,0.60377,0.97468,0.83154,0.85018,0.90347,0.81301,0.42757,0.55419,1.05856,0.000456565,0.000456565,0.000456565
121,8677.1,0.5521,0.56615,0.97556,0.8703,0.80437,0.90278,0.8115,0.42279,0.5978,1.05314,0.000451066,0.000451066,0.000451066
122,8742.59,0.52608,0.57235,0.961,0.8656,0.80878,0.90425,0.82052,0.39939,0.56715,1.03401,0.000445567,0.000445567,0.000445567
123,8808.07,0.53733,0.58404,0.9674,0.87437,0.81963,0.90854,0.82591,0.40015,0.51475,1.03903,0.000440067,0.000440067,0.000440067
124,8873.78,0.53218,0.5787,0.9662,0.8274,0.85718,0.90463,0.8243,0.39665,0.52864,1.04068,0.000434568,0.000434568,0.000434568
125,8939.55,0.54209,0.54765,0.96908,0.86497,0.8531,0.91279,0.82779,0.42626,0.51712,1.04759,0.000429068,0.000429068,0.000429068
126,9005.21,0.52389,0.53835,0.9658,0.82801,0.84189,0.90493,0.82116,0.40885,0.57469,1.04518,0.000423569,0.000423569,0.000423569
127,9070.81,0.52767,0.54602,0.96526,0.86949,0.81073,0.90365,0.82439,0.39786,0.55143,1.03726,0.000418069,0.000418069,0.000418069
128,9136.52,0.53737,0.55525,0.97073,0.85631,0.84117,0.90813,0.81907,0.40932,0.51643,1.0427,0.00041257,0.00041257,0.00041257
129,9201.97,0.54103,0.56719,0.96724,0.81145,0.86953,0.9119,0.82504,0.42583,0.53345,1.04964,0.00040707,0.00040707,0.00040707
130,9267.53,0.5247,0.54752,0.96258,0.86591,0.82902,0.90079,0.81413,0.41063,0.56093,1.04319,0.000401571,0.000401571,0.000401571
131,9336.49,0.54307,0.54998,0.96967,0.84662,0.86543,0.90684,0.82448,0.39897,0.53763,1.03566,0.000396071,0.000396071,0.000396071
132,9410.62,0.51905,0.53598,0.96522,0.88462,0.84316,0.91682,0.82908,0.41629,0.49076,1.05111,0.000390572,0.000390572,0.000390572
133,9482.24,0.5185,0.53246,0.96505,0.80051,0.87203,0.89311,0.80975,0.39113,0.58724,1.02717,0.000385073,0.000385073,0.000385073
134,9556.97,0.53045,0.53568,0.96402,0.86541,0.85547,0.90979,0.81666,0.40087,0.52307,1.0307,0.000379573,0.000379573,0.000379573
135,9630.01,0.53602,0.53577,0.96591,0.84439,0.82509,0.89567,0.81322,0.40104,0.54292,1.04465,0.000374074,0.000374074,0.000374074
136,9703.88,0.51532,0.54862,0.95835,0.84423,0.8639,0.90587,0.82718,0.39138,0.52551,1.03791,0.000368574,0.000368574,0.000368574
137,9777.38,0.52254,0.52524,0.96846,0.88842,0.80953,0.91603,0.84015,0.38956,0.51593,1.0269,0.000363075,0.000363075,0.000363075
138,9849.6,0.51523,0.52438,0.96733,0.85593,0.82577,0.90182,0.8177,0.39297,0.53587,1.04046,0.000357575,0.000357575,0.000357575
139,9922.37,0.52114,0.52679,0.96256,0.84046,0.83946,0.90142,0.82217,0.39994,0.52793,1.03881,0.000352076,0.000352076,0.000352076
140,9989.02,0.52823,0.52107,0.96488,0.87533,0.83385,0.91319,0.83072,0.39273,0.51108,1.03081,0.000346576,0.000346576,0.000346576
141,10054.7,0.52579,0.53799,0.9649,0.84549,0.84234,0.89841,0.82072,0.39622,0.53111,1.03727,0.000341077,0.000341077,0.000341077
142,10120.8,0.51446,0.52518,0.95689,0.8851,0.843,0.92386,0.84224,0.39729,0.47848,1.04268,0.000335578,0.000335578,0.000335578
143,10185.7,0.50395,0.50936,0.94662,0.89523,0.83372,0.91802,0.84221,0.38756,0.48765,1.03544,0.000330078,0.000330078,0.000330078
144,10250.4,0.52939,0.53029,0.96572,0.817,0.90132,0.9108,0.83186,0.39325,0.51638,1.03399,0.000324579,0.000324579,0.000324579
145,10314.6,0.50952,0.51588,0.96347,0.84608,0.85571,0.92138,0.84587,0.38898,0.50365,1.03464,0.000319079,0.000319079,0.000319079
146,10380.9,0.50172,0.51912,0.95467,0.84279,0.81327,0.89478,0.81468,0.38787,0.57835,1.03172,0.00031358,0.00031358,0.00031358
147,10462.5,0.50397,0.50277,0.95479,0.87471,0.811,0.90791,0.82869,0.38379,0.52258,1.02699,0.00030808,0.00030808,0.00030808
148,10536.7,0.50932,0.51445,0.96226,0.86887,0.86492,0.92314,0.84736,0.39206,0.48008,1.03499,0.000302581,0.000302581,0.000302581
149,10608.9,0.51513,0.52265,0.96589,0.82899,0.86534,0.90763,0.83489,0.38555,0.53372,1.03118,0.000297081,0.000297081,0.000297081
150,10678.9,0.49759,0.49462,0.95372,0.8471,0.86548,0.91729,0.84101,0.38769,0.51551,1.03432,0.000291582,0.000291582,0.000291582
151,10748.3,0.51608,0.50413,0.96206,0.83719,0.83857,0.89067,0.81754,0.37274,0.55172,1.0236,0.000286083,0.000286083,0.000286083
152,10817.6,0.50279,0.51371,0.95842,0.88929,0.82979,0.91194,0.83641,0.3789,0.51382,1.02529,0.000280583,0.000280583,0.000280583
153,10887.4,0.51693,0.50924,0.96588,0.82248,0.87022,0.90691,0.82971,0.38813,0.52288,1.03935,0.000275084,0.000275084,0.000275084
154,10961.7,0.49918,0.48557,0.95482,0.87045,0.85684,0.90918,0.83225,0.38799,0.50736,1.03365,0.000269584,0.000269584,0.000269584
155,11028.9,0.49185,0.48245,0.9594,0.8539,0.85761,0.89548,0.81858,0.39362,0.5226,1.04347,0.000264085,0.000264085,0.000264085
156,11095.9,0.49775,0.48626,0.95715,0.8348,0.87141,0.90406,0.82869,0.38036,0.55019,1.03486,0.000258585,0.000258585,0.000258585
